,X.timestamp,X.version,X_id,X_index,X_score,X_type,beat.hostname,beat.version,enrichment.branch.name,metricset.module,metricset.name,metricset.rtt,system.network.in.bytes,system.network.in.dropped,system.network.in.errors,system.network.in.packets,system.network.name,system.network.out.bytes,system.network.out.dropped,system.network.out.errors,system.network.out.packets
38366,"December 18th 2018, 15:20:36.978",1,hBM8wmcBxOZ1qs_pDW7W,metricbeat-000209,NA,doc,101,6.2.4,12,system,network,"4,328",83.548MB,0,0,"177,396",Ethernet,55.136MB,0,0,"188,678"
38448,"December 18th 2018, 15:19:44.263",1,XyxUwmcBxOZ1qs_pD9_I,metricbeat-000209,NA,doc,102,6.2.4,12,system,network,"1,178",74.655MB,0,0,"155,453",Ethernet,46.615MB,0,0,"170,025"
38437,"December 18th 2018, 15:19:51.442",1,ETJUwmcBrehMbwjYERzF,metricbeat-000209,NA,doc,103,6.2.4,12,system,network,"3,861",292.786MB,0,0,"659,750",Ethernet,180.15MB,0,0,"709,214"
38552,"December 18th 2018, 15:18:32.559",1,9rA7wmcBbOSZnM2xhOeS,metricbeat-000209,NA,doc,104,6.2.4,12,system,network,"1,002",66.411MB,0,0,"141,054",Ethernet,38.925MB,0,0,"153,498"
38209,"December 18th 2018, 15:22:02.975",1,05tUwmcBuqt-6aA3liCk,metricbeat-000209,NA,doc,105,6.2.4,12,system,network,"1,002",104.904MB,0,0,"183,198",Ethernet,45.637MB,0,0,"183,565"
38564,"December 18th 2018, 15:18:25.815",1,PCxTwmcBxOZ1qs_pxGvB,metricbeat-000209,NA,doc,106,6.2.4,13,system,network,"2,851",151.944MB,0,0,"346,887",Ethernet,94.349MB,0,0,"359,168"
38373,"December 18th 2018, 15:20:30.597",1,OTk8wmcBdDbnrhqkDH7-,metricbeat-000209,NA,doc,107,6.2.4,13,system,network,"3,191",76.599MB,0,0,"172,541",Ethernet,49.683MB,0,0,"182,710"
38407,"December 18th 2018, 15:20:13.172",1,XJpUwmcBuqt-6aA3HmxC,metricbeat-000209,NA,doc,108,6.2.4,13,system,network,"4,925",127.433MB,0,0,"224,777",Ethernet,60.923MB,0,0,"224,319"
38427,"December 18th 2018, 15:19:58.333",1,irk8wmcB6ZGVNHRkBG6U,metricbeat-000209,NA,doc,109,6.2.4,13,system,network,"2,953",142.061MB,0,0,"343,557",Ethernet,109.427MB,0,0,"360,275"
38531,"December 18th 2018, 15:18:42.509",1,2H87wmcBuqt-6aA3iK_8,metricbeat-000209,NA,doc,110,6.2.4,13,system,network,"3,034",67.648MB,0,0,"151,991",Ethernet,42.117MB,0,0,"166,975"
38627,"December 18th 2018, 15:17:44.175",1,ildTwmcBN4R-DFd1kskc,metricbeat-000209,NA,doc,111,6.2.4,13,system,network,"2,877",120.9MB,0,0,"261,042",Ethernet,76.686MB,0,0,"284,516"
38643,"December 18th 2018, 15:17:38.600",1,2IA7wmcBuqt-6aA3tFHv,metricbeat-000209,NA,doc,113,6.2.4,13,system,network,"3,273",61.167MB,0,0,"132,549",Ethernet,36.939MB,0,0,"139,915"
