,X_timestamp,X_version,X_id,X_index,X_score,X_type,beat_hostname,beat_version,enrichment_branch_name,metricset_module,metricset_name,metricset_rtt,system_cpu_cores,system_cpu_idle_pct,system_cpu_iowait_pct,system_cpu_irq_pct,system_cpu_nice_pct,system_cpu_softirq_pct,system_cpu_steal_pct,system_cpu_system_pct,system_cpu_total_pct,system_cpu_user_pct
17172,"December 18th 2018, 13:00:21.055",1,tlMAwmcBuqt-6aA3m48j,metricbeat-000209,NA,doc,37,6.2.4,4,system,cpu,,4,393.72%,0%,0%,0%,0%,0%,5.11%,0.06280,1.17%
17165,"December 18th 2018, 13:00:30.377",1,U4QAwmcBbOSZnM2xnZ7O,metricbeat-000209,NA,doc,38,6.2.4,4,system,cpu,,4,395.64%,0%,0%,0%,0%,0%,3.62%,0.04360,0.74%
11849,"December 18th 2018, 15:49:02.896",1,uL5BwmcBX8H-MD0_woZa,metricbeat-000209,NA,doc,39,6.2.4,4,system,cpu,"21,055",4,0%,0%,0%,0%,0%,0%,0%,0.00000,0%
17128,"December 18th 2018, 13:01:38.203",1,iJsTwmcB6ZGVNHRk1Pzt,metricbeat-000209,NA,doc,40,6.2.4,4,system,cpu,,4,394.10%,0%,0%,0%,0%,0%,4.88%,0.05900,1.02%
17170,"December 18th 2018, 13:00:21.958",1,#NAME?,metricbeat-000209,NA,doc,41,6.2.4,5,system,cpu,,4,393.22%,0%,0%,0%,0%,0%,5.26%,0.06780,1.52%
17151,"December 18th 2018, 13:00:58.791",1,AWITwmcBuqt-6aA3p_mK,metricbeat-000209,NA,doc,42,6.2.4,5,system,cpu,,4,395.89%,0%,0%,0%,0%,0%,2.92%,0.04110,1.20%
17032,"December 18th 2018, 13:04:47.470",1,lesBwmcBn_oGi6rswADI,metricbeat-000209,NA,doc,43,6.2.4,5,system,cpu,,4,392.75%,0%,0%,0%,0%,0%,6.25%,0.07250,1%
17177,"December 18th 2018, 13:00:12.204",1,XAwAwmcBdDbnrhqk4LM8,metricbeat-000209,NA,doc,44,6.2.4,5,system,cpu,,4,391.78%,0%,0%,0%,0%,0%,7.14%,0.08220,1.08%
17155,"December 18th 2018, 13:00:53.962",1,MREAwmcBN4R-DFd1q6z7,metricbeat-000209,NA,doc,45,6.2.4,5,system,cpu,,4,396.71%,0%,0%,0%,0%,0%,2.60%,0.03290,0.69%
17158,"December 18th 2018, 13:00:48.558",1,pVMAwmcBuqt-6aA3p6vX,metricbeat-000209,NA,doc,46,6.2.4,5,system,cpu,,4,390.67%,0%,0%,0%,0%,0%,8.17%,0.09330,1.16%
17039,"December 18th 2018, 13:04:23.129",1,5oUBwmcBbOSZnM2xPezr,metricbeat-000209,NA,doc,47,6.2.4,5,system,cpu,244,4,395.90%,0%,0%,0%,0%,0%,3.27%,0.04100,0.83%
17110,"December 18th 2018, 13:02:13.538",1,jRIAwmcBN4R-DFd11h8Z,metricbeat-000209,NA,doc,48,6.2.4,6,system,cpu,,4,397.28%,0%,0%,0%,0%,0%,1.98%,0.02720,0.74%
17178,"December 18th 2018, 13:00:10.127",1,7psTwmcB6ZGVNHRkkHnB,metricbeat-000209,NA,doc,49,6.2.4,6,system,cpu,,4,397.04%,0%,0%,0%,0%,0%,2.35%,0.02960,0.60%
17091,"December 18th 2018, 13:02:51.916",1,pBIAwmcBN4R-DFd16VP1,metricbeat-000209,NA,doc,50,6.2.4,6,system,cpu,,4,395.57%,0%,0%,0%,0%,0%,3.84%,0.04430,0.59%
17104,"December 18th 2018, 13:02:27.552",1,mWMUwmcBuqt-6aA3B4mY,metricbeat-000209,NA,doc,51,6.2.4,6,system,cpu,,4,380.84%,0%,0%,0%,0%,0%,15.96%,0.19160,3.20%
17041,"December 18th 2018, 13:04:21.354",1,W1QBwmcBuqt-6aA3POCl,metricbeat-000209,NA,doc,52,6.2.4,6,system,cpu,,4,393.07%,0%,0%,0%,0%,0%,4.25%,0.06930,2.68%
17102,"December 18th 2018, 13:02:37.084",1,G-oBwmcBn_oGi6rsRUJH,metricbeat-000209,NA,doc,53,6.2.4,6,system,cpu,,4,393.68%,0%,0%,0%,0%,0%,3.55%,0.06320,2.77%
17077,"December 18th 2018, 13:03:19.876",1,MBwgwmcBdDbnrhqkFPI4,metricbeat-000209,NA,doc,54,6.2.4,6,system,cpu,,4,388.39%,0%,0%,0%,0%,0%,8.16%,0.11610,3.46%
17060,"December 18th 2018, 13:03:43.291",1,7OkBwmcBn_oGi6rsKe2e,metricbeat-000209,NA,doc,55,6.2.4,6,system,cpu,,4,392.63%,0%,0%,0%,0%,0%,4.53%,0.07370,2.84%
17105,"December 18th 2018, 13:02:25.094",1,HRIAwmcBN4R-DFd12i7b,metricbeat-000209,NA,doc,60,6.2.4,7,system,cpu,68,4,395.16%,0%,0%,0%,0%,0%,3.97%,0.04840,0.88%
17087,"December 18th 2018, 13:02:56.151",1,EOYAwmcBxOZ1qs_p68g1,metricbeat-000209,NA,doc,61,6.2.4,7,system,cpu,,4,396.69%,0%,0%,0%,0%,0%,2.52%,0.03310,0.79%
15167,"December 18th 2018, 14:04:23.604",1,bygowmcBN4R-DFd1k2Bm,metricbeat-000209,NA,doc,62,6.2.4,7,system,cpu,,4,327.94%,0%,0%,0%,0%,0%,50.43%,0.72060,21.63%
17163,"December 18th 2018, 13:00:34.375",1,kEkAwmcBAOA7YPJG5_fm,metricbeat-000209,NA,doc,68,6.2.4,7,system,cpu,111,4,395.76%,0%,0%,0%,0%,0%,3.47%,0.04240,0.77%
17073,"December 18th 2018, 13:03:24.781",1,IFogwmcBAOA7YPJGzATr,metricbeat-000209,NA,doc,69,6.2.4,7,system,cpu,,4,395.44%,0%,0%,0%,0%,0%,3.77%,0.04560,0.79%
17082,"December 18th 2018, 13:03:11.990",1,EfkfwmcBn_oGi6rsGGva,metricbeat-000209,NA,doc,70,6.2.4,7,system,cpu,,4,395.72%,0%,0%,0%,0%,0%,2.57%,0.04280,1.71%
17064,"December 18th 2018, 13:03:35.971",1,Eu0BwmcBrehMbwjYax0x,metricbeat-000209,NA,doc,71,6.2.4,7,system,cpu,,4,396.68%,0%,0%,0%,0%,0%,2.56%,0.03320,0.76%
17121,"December 18th 2018, 13:01:54.299",1,pJQTwmcBbOSZnM2x6pu5,metricbeat-000209,NA,doc,188,6.2.4,7,system,cpu,,4,396.96%,0%,0%,0%,0%,0%,2.65%,0.03040,0.39%
17030,"December 18th 2018, 13:04:51.085",1,rB0lwmcBdDbnrhqkFs_X,metricbeat-000209,NA,doc,72,6.2.4,8,system,cpu,,4,397.27%,0%,0%,0%,0%,0%,2.20%,0.02730,0.53%
17166,"December 18th 2018, 13:00:29.312",1,2ugAwmcBn_oGi6rsneIS,metricbeat-000209,NA,doc,74,6.2.4,8,system,cpu,,4,392.05%,0%,0%,0%,0%,0%,5.43%,0.07950,2.52%
17055,"December 18th 2018, 13:03:50.358",1,_pkkwmcBX8H-MD0_MdqP,metricbeat-000209,NA,doc,75,6.2.4,8,system,cpu,,4,383.70%,0%,0%,0%,0%,0%,11.85%,0.16300,4.45%
17150,"December 18th 2018, 13:01:04.717",1,a4kAwmcBX8H-MD0_-qPj,metricbeat-000209,NA,doc,76,6.2.4,8,system,cpu,,4,388.29%,0%,0%,0%,0%,0%,10.06%,0.11710,1.65%
17137,"December 18th 2018, 13:01:25.988",1,QJsTwmcB6ZGVNHRkxut4,metricbeat-000209,NA,doc,77,6.2.4,8,system,cpu,,4,393.39%,0%,0%,0%,0%,0%,5.17%,0.06610,1.45%
17079,"December 18th 2018, 13:03:14.374",1,6pwfwmcB6ZGVNHRkWfLO,metricbeat-000209,NA,doc,78,6.2.4,8,system,cpu,262,4,393.11%,0%,0%,0%,0%,0%,5.87%,0.06890,1.02%
17123,"December 18th 2018, 13:01:53.274",1,kekAwmcBn_oGi6rsxksI,metricbeat-000209,NA,doc,79,6.2.4,9,system,cpu,,4,396.16%,0%,0%,0%,0%,0%,2.80%,0.03840,1.04%
17154,"December 18th 2018, 13:00:54.608",1,_RsTwmcBdDbnrhqkpJ5q,metricbeat-000209,NA,doc,80,6.2.4,9,system,cpu,,4,395.67%,0%,0%,0%,0%,0%,3.51%,0.04330,0.82%
