,X.timestamp,X.version,X_id,X_index,X_score,X_type,beat.hostname,beat.version,enrichment.branch.name,metricset.module,metricset.name,metricset.rtt,system.network.in.bytes,system.network.in.dropped,system.network.in.errors,system.network.in.packets,system.network.name,system.network.out.bytes,system.network.out.dropped,system.network.out.errors,system.network.out.packets
24993,"December 18th 2018, 17:40:46.305",1,u-NnwmcBX8H-MD0_9tdI,metricbeat-000209,NA,doc,82,6.2.4,9,system,network,"3,875",140.428MB,0,0,"286,942",Ethernet,71.497MB,0,0,"293,485"
24998,"December 18th 2018, 17:40:40.433",1,ikNnwmcBn_oGi6rs1cSH,metricbeat-000209,NA,doc,180,6.2.4,23,system,network,"1,001",316.709MB,0,0,"729,702",Ethernet,202.526MB,0,0,"789,520"
25001,"December 18th 2018, 17:40:40.429",1,0PV0wmcBX8H-MD0_JDya,metricbeat-000209,NA,doc,183,6.2.4,11,system,network,997,18.064MB,0,0,"40,626",Ethernet,11.949MB,0,0,"41,665"
25002,"December 18th 2018, 17:40:37.043",1,qGdnwmcBdDbnrhqkxDlN,metricbeat-000209,NA,doc,101,6.2.4,12,system,network,"6,022",460.701MB,0,0,"535,945",Ethernet,88.66MB,0,0,"414,684"
25005,"December 18th 2018, 17:40:34.220",1,qa5nwmcBuqt-6aA3urqw,metricbeat-000209,NA,doc,68,6.2.4,7,system,network,"1,881",164.36MB,0,0,"270,107",Ethernet,76.464MB,0,0,"266,869"
25009,"December 18th 2018, 17:40:30.470",1,sVJ0wmcBxOZ1qs_pHaiH,metricbeat-000209,NA,doc,107,6.2.4,13,system,network,"3,041",82.274MB,0,0,"185,511",Ethernet,53.756MB,0,0,"196,768"
25011,"December 18th 2018, 17:40:30.271",1,3lV0wmcBn_oGi6rsHXZ-,metricbeat-000209,NA,doc,38,6.2.4,4,system,network,"2,989",116.255MB,0,0,"254,069",Ethernet,76.408MB,0,0,"264,824"
25016,"December 18th 2018, 17:40:29.299",1,CrV0wmcBAOA7YPJGHJ56,metricbeat-000209,NA,doc,39,6.2.4,4,system,network,"3,221",16.009MB,0,0,"27,408",Ethernet,8.427MB,0,0,"26,593"
25018,"December 18th 2018, 17:40:29.182",1,Y6RnwmcBAOA7YPJGuBS3,metricbeat-000209,NA,doc,74,6.2.4,8,system,network,"1,503",146.607MB,0,0,"299,828",Ethernet,84.406MB,0,0,"316,617"
25022,"December 18th 2018, 17:40:24.619",1,EkNnwmcBn_oGi6rstaY_,metricbeat-000209,NA,doc,36,6.2.4,4,system,network,997,294.422MB,0,0,"668,328",Ethernet,179.519MB,0,0,"710,899"
25024,"December 18th 2018, 17:40:23.102",1,IONnwmcBX8H-MD0_uKah,metricbeat-000209,NA,doc,125,6.2.4,15,system,network,997,182.134MB,0,0,"329,538",Ethernet,86.697MB,0,0,"336,510"
25031,"December 18th 2018, 17:40:21.634",1,qa5nwmcBuqt-6aA3tahL,metricbeat-000209,NA,doc,41,6.2.4,5,system,network,"4,822",652.617MB,0,0,"1,202,684",Ethernet,349.01MB,0,0,"1,216,877"
25035,"December 18th 2018, 17:40:20.991",1,qmxnwmcBN4R-DFd1tJRt,metricbeat-000209,NA,doc,37,6.2.4,4,system,network,"3,987",106.621MB,0,0,"204,151",Ethernet,53.137MB,0,0,"211,526"
25036,"December 18th 2018, 17:40:17.780",1,p0NnwmcBn_oGi6rss5tm,metricbeat-000209,NA,doc,135,6.2.4,16,system,network,"2,982",61.902MB,0,0,"136,119",Ethernet,38.231MB,0,0,"148,978"
25040,"December 18th 2018, 17:40:16.305",1,COZnwmcB6ZGVNHRks72_,metricbeat-000209,NA,doc,158,6.2.4,20,system,network,"2,987",17.395MB,0,0,"36,252",Ethernet,8.722MB,0,0,"38,080"
