,X_timestamp,beat_hostname,enrichment_branch_name,system_cpu_idle_pct,system_cpu_iowait_pct,system_cpu_irq_pct,system_cpu_nice_pct,system_cpu_softirq_pct,system_cpu_steal_pct,system_cpu_system_pct,system_cpu_total_pct,system_cpu_user_pct,system_cpu_idle_pct.1,system_cpu_iowait_pct.1,system_cpu_irq_pct.1,system_cpu_nice_pct.1,system_cpu_softirq_pct.1,system_cpu_steal_pct.1,system_cpu_system_pct.1,system_cpu_total_pct.1,system_cpu_user_pct.1,system_cpu_idle_pct.2,system_cpu_iowait_pct.2,system_cpu_irq_pct.2,system_cpu_nice_pct.2,system_cpu_softirq_pct.2,system_cpu_steal_pct.2,system_cpu_system_pct.2,system_cpu_total_pct.2,system_cpu_user_pct.2,HBOS
105,134951,72,8,3.94,0,0,0,0,0,0.05,0.06,0.01,3.94,0,0,0,0,0,0.05,0.06,0.01,3.97,0,0,0,0,0,0.02,0.03,0.01,2.543192579001936
106,134833,2,1,3.95,0,0,0,0,0,0.05,0.05,0.01,3.95,0,0,0,0,0,0.05,0.05,0.01,3.93,0,0,0,0,0,0.05,0.07,0.01,2.5332842903416473
107,134516,158,20,3.95,0,0,0,0,0,0.04,0.05,0.01,3.95,0,0,0,0,0,0.04,0.05,0.01,3.94,0,0,0,0,0,0.04,0.06,0.02,2.4824173940025416
108,134518,135,16,3.95,0,0,0,0,0,0.04,0.05,0.01,3.95,0,0,0,0,0,0.04,0.05,0.01,3.94,0,0,0,0,0,0.04,0.06,0.02,2.4824173940025407
109,134845,185,22,3.96,0,0,0,0,0,0.04,0.04,0.01,3.96,0,0,0,0,0,0.04,0.04,0.01,3.96,0,0,0,0,0,0.02,0.04,0.02,2.2539380654871524
110,134753,27,3,3.94,0,0,0,0,0,0.05,0.06,0.01,3.94,0,0,0,0,0,0.05,0.06,0.01,3.94,0,0,0,0,0,0.05,0.06,0.01,2.033886640910881
111,134638,40,4,3.94,0,0,0,0,0,0.04,0.06,0.01,3.94,0,0,0,0,0,0.04,0.06,0.01,3.94,0,0,0,0,0,0.05,0.06,0.01,2.005296139282869
112,134710,151,19,3.96,0,0,0,0,0,0.03,0.04,0.01,3.96,0,0,0,0,0,0.03,0.04,0.01,3.96,0,0,0,0,0,0.03,0.04,0.01,1.9894675011224499
113,134626,191,21,3.95,0,0,0,0,0,0.04,0.05,0.01,3.95,0,0,0,0,0,0.04,0.05,0.01,3.96,0,0,0,0,0,0.03,0.04,0.01,1.9659864052729261
114,134627,190,21,3.95,0,0,0,0,0,0.04,0.05,0.01,3.95,0,0,0,0,0,0.04,0.05,0.01,3.96,0,0,0,0,0,0.03,0.04,0.01,1.9425053094234228
115,134833,186,21,3.95,0,0,0,0,0,0.04,0.05,0.01,3.95,0,0,0,0,0,0.04,0.05,0.01,3.95,0,0,0,0,0,0.04,0.05,0.01,1.942505309423403
116,134626,119,14,3.96,0,0,0,0,0,0.03,0.04,0.01,3.96,0,0,0,0,0,0.03,0.04,0.01,3.95,0,0,0,0,0,0.04,0.05,0.01,1.927319594373605
117,134741,21,2,3.95,0,0,0,0,0,0.04,0.05,0.01,3.95,0,0,0,0,0,0.04,0.05,0.01,3.97,0,0,0,0,0,0.02,0.03,0.01,1.91254208604596
118,134758,128,16,3.96,0,0,0,0,0,0.03,0.04,0.01,3.96,0,0,0,0,0,0.03,0.04,0.01,3.98,0,0,0,0,0,0.02,0.02,0.01,1.7376555281286115
119,134632,189,21,3.97,0,0,0,0,0,0.03,0.03,0.01,3.97,0,0,0,0,0,0.03,0.03,0.01,3.95,0,0,0,0,0,0.04,0.05,0.01,1.7054708447572289
120,134950,88,10,3.96,0,0,0,0,0,0.04,0.04,0.01,3.96,0,0,0,0,0,0.04,0.04,0.01,3.94,0,0,0,0,0,0.05,0.06,0.01,1.7042661436188777
121,134556,93,11,3.95,0,0,0,0,0,0.04,0.05,0.01,3.95,0,0,0,0,0,0.04,0.05,0.01,3.98,0,0,0,0,0,0.02,0.02,0.0,1.6906933364295842
122,134905,168,22,3.96,0,0,0,0,0,0.03,0.04,0.01,3.96,0,0,0,0,0,0.03,0.04,0.01,3.98,0,0,0,0,0,0.02,0.03,0.01,1.647478897779543
123,134540,183,11,3.95,0,0,0,0,0,0.04,0.05,0.01,3.95,0,0,0,0,0,0.04,0.05,0.01,3.97,0,0,0,0,0,0.02,0.03,0.01,1.628545429680759
124,134623,157,20,3.95,0,0,0,0,0,0.04,0.05,0.01,3.95,0,0,0,0,0,0.04,0.05,0.01,3.98,0,0,0,0,0,0.02,0.03,0.01,1.6005167060805159
125,134921,52,6,3.96,0,0,0,0,0,0.03,0.04,0.01,3.96,0,0,0,0,0,0.03,0.04,0.01,3.97,0,0,0,0,0,0.02,0.03,0.01,1.585330991030698
126,134624,147,18,3.96,0,0,0,0,0,0.03,0.04,0.01,3.96,0,0,0,0,0,0.03,0.04,0.01,3.94,0,0,0,0,0,0.05,0.06,0.01,1.5227490068025353
127,134843,127,15,3.98,0,0,0,0,0,0.02,0.02,0.0,3.98,0,0,0,0,0,0.02,0.02,0.0,3.93,0,0,0,0,0,0.05,0.07,0.01,1.4331919350729991
128,134906,161,20,3.96,0,0,0,0,0,0.03,0.04,0.01,3.96,0,0,0,0,0,0.03,0.04,0.01,3.97,0,0,0,0,0,0.02,0.03,0.0,1.378205498235029
129,134639,14,2,3.97,0,0,0,0,0,0.03,0.03,0.0,3.97,0,0,0,0,0,0.03,0.03,0.0,3.98,0,0,0,0,0,0.02,0.02,0.0,1.2251795432480603
